Date,Event
7-Feb-90,"The Central Committee of the Soviet Communist Party gives up its monopoly of power, continuing the trend, since the beginning of the Berlin Wall coming down, that the Cold War was about to end. The ending of the Cold War was completed, in many ways, by the strong policies of U.S. President Ronald Reagan toward the Soviet block. Six days later, a plan to reunite Germany was announced."
18-Mar-90,"The largest art theft in U.S. history occurs in Boston, Massachusetts, when two thieves posing as policemen abscond more than one dozen works of art worth an estimated $100-200 million from the Isabella Stewart Gardner Museum."
1-Apr-90,"The 1990 census is conducted, counting
248,718,301, for an increase of 9.8% over the 1980 census. This
is the smallest increase in the population rate since 1940. The
geographic center of the United States population is now ten
miles southeast of Steelville, Missouri."
24-Apr-90,"The Hubble Telescope is placed into orbit by the United States Space Shuttle Discovery. One month later, the
telescope becomes operational."
1-Jun-90,"U.S. President George H.W. Bush and his Soviet
counterpart Mikhail Gorbachev sign a treaty to eliminate
chemical weapon production and begin the destruction of each
nation's current inventory."
2-Aug-90,"Iraq invades its neighbor, Kuwait, setting into
motion the beginning of U.S. involvement in the Gulf War. Four
days later, the United Nations begins a global trade embargo
against Iraq. On November 29, the United Nations passes a
resolution, #678, stating that Iraq must withdraw its forces from Kuwait by January 15, 1991 or face military intervention."
6-Aug-90,"Tumacacori National Monument is enlarged and
re-titled a Historical Park by legislation signed into law by
President George H.W. Bush. The site, including the historic
Spanish mission church of San Jose de Tumacacori, was
founded by Padre Eusebio Kino in 1691."
12-Jan-91,U.S. Congress passes a resolution authorizing the use of force to liberate Kuwait. Operation Desert Storm begins four days later with air strikes against Iraq. Iraq responds by sending eight Scud missiles into Israel.
27-Feb-91,"The Gulf War ends one day after Iraq
withdraws its forces from Kuwait and sets the oil fields on fire. A cease fire is declared and Iraq accepts the condition of
disarmament after one hundred hours of ground fighting. On
April 3, the United Nations Security Council passes Resolution
687, calling for the destruction and removal of the entire Iraqi
chemical and biological weapons stockpile, plus ballistic missiles with a range greater than 150 kilometers. Iraq also agrees to withdraw its support of international terrorism."
3-Oct-91,"The governor of Arkansas, William Jefferson
Clinton, announces his intention to seek the 1992 Democratic
nomination for the Presidency of the United States."
29-Jul-91,"Bank of Credit and Commerce International is
indicted in New York for the largest bank fraud in history."
27-Nov-91,"The United Nations Security Council
unanimously votes to adopt Resolution 721, which would lead the
way to establishing peacekeeping forces in Yugoslavia. Three
months later, another resolution would approve a peacekeeping
force be sent."
26-Jan-92,"The renewed nation of Russia, part of the Soviet Union dissolved on December 26, 1991, and their leader Boris Yeltsin announce that they will stop targeting the cities of the United States with nuclear weapons."
24-Feb-92,"The Salt River Bay National Historical Park
and Ecological Preserve is established through legislation signed by President George H.W. Bush. The park in St. Croix, U.S. is the only location under the jurisdiction of the United States where the men of Christopher Columbus are known to have been."
7-May-92,"The 27th Amendment to the Constitution is passed
two hundred and two years after its initial proposal. It bars the United States Congress from giving itself a midterm or
retroactive pay raise. This amendment had been originally
proposed by James Madison in 1789, as part of twelve
amendments, of which ten would become the original Bill of
Rights on December 15, 1791."
21-Aug-92,"The Siege of Ruby Ridge is begun by United
States Marshals, lasting ten days. The incident would end with
the acquittal of all but one minor charge against the Weaver
family and lead to admonishment of the handling of the incident
by Federal authorities."
3-Nov-92,"In a three way race for the presidency of the
United States, Democratic candidate Bill Clinton defeats
incumbent President George H.W. Bush and businessman H.
Ross Perot of the Reform Party. Many trace the loss of
President Bush to his reneging a pledge for ""no new taxes.""
Clinton received only 43% of the popular vote, but 370 Electoral
votes to Bush with 37.4% and 168 Electoral College votes. Perot
garnered 18.9% of the popular vote, but no Electoral College
delegates."
26-Feb-93,The World Trade Center is bombed by Islamic terrorists when a van parked below the North Tower of the structure explodes. Six people are killed and over one thousand are injured.
28-Feb-93,"The fifty-one day Waco standoff begins
when the Bureau of Alcohol, Tobacco, and Firearms attempt to
arrest the Branch Davidian leader David Koresh on federal arms
violations. Four agents and five members of the cult are killed in the raid. The siege would end on April 19 when a fire, started by the Davidians, killed seventy-five members of the group, including the leader."
22-Mar-93,"Intel ships the first Pentium chips, revolutionizing the processing of computers around the world."
27-Jun-93,"President Bill Clinton orders a cruise missile
attack on the Iraqi intelligence headquarters in Baghdad,
responding to the attempted assassination attempt cultivated by
the Iraq Secret Service on former U.S. President George H.W.
Bush during his visit to Kuwait two months before."
30-Nov-93,"The Brady Handgun Violence Prevention
Act is signed into law by President Bill Clinton."
1-Jan-94,"The North American Free Trade Agreement (NAFTA) goes into effect, creating a free trade zone between Canada, the United States, and Mexico."
12-Jun-94,"The bodies of Nicole Brown Simpson and
Ronald Goldman are found outside her home in Los Angeles,
California. Five days later, her husband, former football star O.J. Simpson is arrested for the crime, but is later acquitted on October 3, 1995. The Simpson case was one of the highest
profile murder cases in the nation's history."
13-Sep-94,"President Bill Clinton signs the Assault
Weapons Ban, which bars the use of these weapons for ten
years."
14-Sep-94,"For the first time since 1904, the World
Series of Major League Baseball is cancelled, this time due to a
player's strike begun in August by the Major League Baseball
Players Association."
8-Oct-94,"The President of the United Nations Security
Council states that Iraq must withdraw its troops from the Kuwait border and cooperate with weapons inspectors. Iraq had
threatened in September to withdraw their cooperation with
UNSCOM inspectors, and began a deployment of Iraqi troops
near the Kuwaiti border. A United States reaction to this
development during the months of September and October
included the deployment of its military force to Kuwait. On
October 15, Iraq began to withdraw its troops from the Kuwait
region."
8-Nov-94,"The Republican revolution concludes with
the midterm elections when for the first time in forty years, the party gains control of both the Senate and the U.S. House of
Representatives."
1-Jan-95,"The World Trade Organization (WTO) is created, replacing the General Agreement on Tariffs and Trade (GATT) formed from a series of post-war treaties on trade. The World Trade Organization is more highly structured than the previous GATT and counted seventy-six nations among its members in 1995."
31-Jan-95,"U.S. President Bill Clinton invokes emergency
powers to extend a $20 billion loan to Mexico to avert a financial disaster that had begun on December 19, 1994 during a planned exchange rate correction between the Mexican peso and
American dollar."
19-Apr-95,"Anarchists Timothy McVeigh and Terry Nichols
explode a bomb outside the Murrah Federal Building in
Oklahoma City, killing one hundred and sixty-eight people in a
domestic terrorism attack."
11-May-95,"One hundred and seventy nations decide to
extend the Nuclear Non-proliferation Treaty indefinitely."
29-Jun-95,"For the first time, the Space Shuttle Atlantis
docks with the Russian space station Mir."
27-Jul-95,"The Korean War Memorial in Washington, D.C. is
dedicated in ceremonies presided by President Bill Clinton and
South Korean President Kim Yong-sam."
25-Jun-96,"The Khobar Towers bombing in Khobar, Saudi Arabia kills nineteen U.S. military personnel, destroying the majority of a six building apartment complex that was home to the 440th Fighter Wing. It was carried out by Islamic terrorists seeking removal of the U.S. presence in Saudi Arabia."
5-Jul-96,"At the Roslin Institute in Scotland, Dolly, the sheep, becomes the first mammal to be cloned. This begins a rampant debate on the ethics of the procedure in animals and the viability and morality of cloning in human beings."
19-Jul-96,"The Summer Olympics Games are opened in
Atlanta, Geogia by U.S. President Bill Clinton. The games are
positively known for the achievements of American track and
field athlete Michael Johnson, who won both the 200 and 400
meter races, setting a new World Record in the 200, and for the
victory of the American women's gymnastics team. These games
would be marred, however, by the Centennial Park bombing of
Olympic tourists on July 27, which killed one person and injured
one hundred and eleven."
5-Nov-96,"President William J. Clinton defeats
Republican Presidential candidate Bob Dole, as well as the
second run of businessman Ross Perot. Clinton gained 49.2% of
the popular vote, and increased his total in the Electoral College to 379. Dole gained 40.7% of the popular tally and 159 in the Electoral College. Perot's influence on this race was marginal compared to 1992, receiving only 8.4% of the vote in 1996."
5-Dec-96,"A speech by the Federal Reserve Board
Chairman Alan Greenspan suggests that irrational exuberance
may be causing the extraordinary runup of stock prices."
9-Feb-97,"The Simpsons, a ribald cartoon about a family of misfits, becomes the longest running prime-time cartoon television series in history, surpassing the Flintstones."
4-Mar-97,"Federal funding for any research into human
cloning is barred by President Bill Clinton."
25-May-97,"Strom Thurmond becomes the longest serving
member of the United States Senate at forty-one years and ten
months."
8-Jul-97,"The NATO alliance expands into eastern Europe
when it extends an invitation to the Czech Republic, Hungary,
and Poland to join the alliance in 1999."
29-Oct-97,"Iraq states that it will begin to shoot down U-2 surveillance planes used by United Nations UNSCOM inspectors
attempting to mandate Saddam Hussein meet the provisions of
surrender in the 1991 Gulf War."
26-Jan-98,"The Monica Lewinsky scandal begins when U.S. President Bill Clinton denies his relationship with the White House intern in a televised interview. This denial, and other denials to a grand jury investigation, would lead to the impeachment of the president."
23-Feb-98,"Osama bin Laden publishes his fatwa that
announced a jihad against all Jews and Crusaders. This
announcement would push forward the Islamic fundamentalist
agenda toward terrorism against western interests."
18-May-98,"The United States Department of Justice and
twenty states file the anti-trust case, U.S. versus Microsoft. On November 5, 1999, a preliminary ruling stated that Microsoft had monopoly power."
7-Aug-98,"Attacks on two United States embassies in
Africa, in Dar es Salaam, Tanzania, and Nairobi, Kenya kills two
hundred and twenty-four and injures four thousand five hundred.
The attacks are linked to Osama Bin Laden and his Al-Qaeda
organization. On August 13, the United States launches cruise
missile strikes against Al-Qaeda camps in Afghanistan and a
suspected chemical plant in the Sudan."
29-Sep-98,"The United States Congress passes
legislation, the Iraq Liberation Act, that states the U.S. wants to remove Saddam Hussein from power and replace it with a
democracy."
29-Oct-98,"John Glenn, thirty-six years after becoming
the first American astronaut to orbit the earth, becomes the
oldest astronaut in space at seventy-seven years old. His role on the Space Shuttle Discovery flight tests the effect of space travel on aging."
1-Jan-99,The Euro currency is introduced as a competitive tool to stem the power of the dollar and maximize the economic power of the European Union nations.
12-Feb-99,"President Bill Clinton is acquitted by the U.S. Senate in the Monica Lewinsky scandal. The Senate trial, which began January 7 and needed a 2/3 majority to convict, ended with a 55-45 not guilty vote on the charge of perjury and 50-50 vote on the charge of obstruction of justice."
29-Mar-99,"The Dow Jones Industrial Average closes
above 10,000 for the first time."
3-May-99,"A series of tornadoes strikes Oklahoma, including
an F5 category storm that slams Oklahoma City, killing
thirty-eight. The fastest wind speed ever recorded on earth is
measured by scientists at 509 km (318 mph) during this tornado."
30-Nov-99,"The first major mobilization of the
anti-globalization movement occurs in Seattle, Washington,
during the days before the 1999 World Trade Organization
meetings. The protests and rioting caused the cancellation of the WTO opening ceremonies."
1-Apr-00,"The 2000 census enumerates a population of 281,421,906, increasing 13.2% since 1990. As regions, the South and West continued to pick up the majority of the increase in population, moving the geographic center of U.S. population to Phelps County, Missouri."
3-Apr-00,The ruling in the case of the United States versus Microsoft states that the company did violate anti-trust laws by diminishing the capability of its rivals to compete.
1-Jun-00,"For the first time since 1851, the United States of America does not participate in a major World's Fair, the , despite a record number, 187, of international participants. President Bill Clinton had withdrawn U.S. participation late in 1999 after agreement to participate in 1997. Congressional apathy toward participation in world events continues a decline in U.S. involvement after the fall of the Soviet Union and victory in the Cold War. A consequence of this policy has led to a rise, among some experts, of anti-American sentiment and a decline of U.S. influence in diplomatic affairs.  Less than half, 18.1 million, of the original attendance estimate, 40 million, visit Hannover's event."
7-Nov-00,"George W. Bush, son of the former
President, and Vice President Al Gore hold a virtual dead-heat
for the presidency, with a disputed vote in Florida holding off the naming of the winner of the Presidential Election until the
Supreme Court of the United States voted in favor of Bush on
December 12. This ruling gave Florida to the Bush camp by a
527 vote majority and a victory in the Electoral College, 271-266, despite gaining less popular votes than Gore."
7-Nov-00,"Hillary Rodham Clinton wins a seat for the
United States Senate from New York. It is the first time a former First Lady wins public office."
28-Dec-00,"Montgomery Ward, the retail giant since its
founding one hundred and twenty-eight years before, announces
its intention to cease business. Competition from newer, low-cost retail behemoths such as Wal-Mart lead to its demise."
6-Jan-01,"Certification of the Electoral College victory of the 2000 United States Presidential election in the U.S. Senate confirms George W. Bush as the victor, with Dick Cheney as his Vice-President"
1-Apr-01,"China-U.S. incident. An American spy plane
collides with a fighter plane of China and makes an emergency
landing in Hainan, China. The U.S. crew is detained for ten days."
8-Apr-01,"Tiger Woods becomes the first golfer to hold all
four major golf titles simultaneously by winning the Master's
tournament in Augusta, Georgia. This followed a remarkable run in 2000 when Woods claimed victory at the final three majors of that season; the U.S. Open, the British Open, and the PGA Championship."
11-Sep-01,"Islamic fundamentalist terrorists hijack
four U.S. airliners and crash them into the Pentagon and the
World Trade Center in New York City. The attack of two planes
levels the World Trade Center and the crash of one plane inflicts serious damage to the Pentagon in Arlington, Virginia, causing nearly 3,000 deaths. The fourth plane is heroically crashed by passengers into a Shanksville, Pennsylvania cornfield when they learn of the plot, preventing destruction of another structure in Washington, D.C., supposed to be the White House or the Capitol building. The plot is attributed to the Al-Qaeda
organization led by Osama Bin Laden."
18-Sep-01,"Anthrax attacks by mail from Princeton,
New Jersey against news and government targets begin. Federal
officials announce the first case on October 4."
7-Oct-01,"In response to the tragedy of September 11,
the United States military, with participation from its ally the
United Kingdom, commence the first attack in the War on
Terrorism on the Taliban and Al-Qaeda in Afghanistan. By
November 12, the Taliban government leaves the capital, Kabul."
8-Feb-02,"Amid tight security due to terrorism concerns, the Winter Olympic Games are opened by President George W. Bush in Salt Lake City, Utah. They would continue without major incident until the closing ceremony on February 24."
21-May-02,"The United States State Department issues its
report in the War on Terror. It states that there are seven nations that a State-Sponsors: Iran, Iraq, Cuba, Libya, North Korea, Sudan, and Syria."
5-Jul-02,"Continuing its pattern of the past several years,
Iraq refuses new proposals from the United Nations concerning
weapons inspections. The inspections were part of the cease-fire
agreement and terms of surrender in the 1991 Gulf War. On
September 12, U.S. President George Bush addresses the
United Nations and warns the members that Iraq presents a
grave danger to the world that they must confront, or that the
United States and others will act unitarily. On October 2, 2002,
the United States Congress passes a resolution giving the
President of the U.S. the authority to use the military forces of the country as he thinks necessary."
8-Nov-02,"The United Nations passes Resolution 1441
in a unanimous Security Council vote. It forces Saddam Hussein
and Iraq to disarm or face serious consequences."
21-Nov-02,"NATO invites additional members of the
former Soviet bloc to join its membership. Seven nations are
included in the invitation; Bulgaria, Estonia, Latvia, Lithuania, Romania, Slovakia, and Slovenia."
1-Feb-03,A tragedy at NASA occurs when the Space Shuttle Columbia explodes upon reentry over Texas. All seven astronauts inside are killed.
19-Mar-03,"The War in Iraq begins with the bombing of
Baghdad after additional measures and mandates from the
United Nations and the United States coalition fail to gain
concessions or the removal of Saddam Hussein from power. The
U.S. coalition, upon failure to extract authority from the U.N. for action due to the veto power of France, begin land operations one day later with participation from U.S., British, Australian, and Polish troops."
9-Apr-03,The U.S. coalition seizes control of Baghdad in the Iraq conflict.
2-Jul-03,"The International Olympic Committee votes in
Prague that the Winter Olympic Games are coming back to
North America, selecting Vancouver, Canada as host of the XXI
Olympic Games in 2010."
13-Dec-03,"Saddam Hussein, former leader of Iraq, is
captured in a small bunker in Tikrit by the U.S. 4th Infantry
Division."
3-Feb-04,The Central Intelligence Agency admits that the imminent threat from weapons of mass destruction was not present before the 2003 Iraq war began.
2-Mar-04,"Mars rover MER-B (Opportunity) confirms to
NASA that the area of their landing was once covered in water."
4-Jul-04,"The groundbreaking ceremony for the Freedom
Tower at Ground Zero, the former site of the World Trade Center
complex destroyed during the September 11, 2001 attacks,
occurs in New York City."
2-Nov-04,"President George W. Bush wins reelection
over Democratic Senator John Kerry from Massachusetts. He
wins 50.7% of the popular vote and 286 votes in the Electoral
College."
26-Dec-04,"The southeast Asian tsunami occurs
following a 9.3 Richter scale earthquake in the Indian Ocean.
Two hundred and ninety thousand people die from Sri Lanka to
Indonesia, creating one of the greatest humanitarian tragedies in history. A worldwide relief effort, led by the United States and many other nations, is mobilized to assist."
31-May-05,"After more than thirty years in suspense, the identity of Deep Throat, the contact for reporters Woodward and Bernstein in the uncovering of the Watergate scandal, is revealed when W. Mark Felt, the second in command at the FBI at the time, confirms that he was their contact."
26-Jul-05,"In the first Space Shuttle flight since the tragedy of 2003, Discovery goes into orbit on a mission that returns to earth safely on August 9."
29-Aug-05,"Hurricane Katrina strikes the Gulf Coast,
inundating the city of New Orleans with water from Lake
Pontchartrain when the levees that maintain the below sea level
city break. Over one thousand three hundred people perish from
Alabama to Louisiana in one of the worst natural disasters to
strike the United States."
24-Oct-05,"Civil Rights activist, Rosa Parks, dies."
26-Oct-05,"The War of Terror continues. With elections
in Iraq to confirm a new constitution vying with internal terrorism
amid the U.S. military presence on October 15, eleven days later
a statement from the Iranian President, Mahmoud Ahmadinejad,
calls for the destruction of Israel and condemns the peace
process."
15-Dec-05,First active service in the United States Air Force for the new F22-A plane constructed by Lockheed Martin and Boeing. This f-22 raptor was a one-pilot plane that changed the course of military aviation design.
22-Feb-06,"In a continuing shift of the retail industry to new platforms, it is announced that the one billionth song is downloaded from the internet music store, Apple iTunes. This shift comes at the expense of many brick and mortar chains, including Tower Records."
25-Sep-06,"In New Orleans, the Louisiana Superdome
reopens after repairs caused by Hurricane Katrina damage. The
repairs included the largest re-roofing project in U.S. history and took thirteen months following the destruction to the Gulf Coast region."
17-Oct-06,"The population of the United States reaches
the milestone of three hundred million, taking only about forty years to gain one hundred million people since the two hundredth
million person was added in 1967*. At the same time, a vibrant
debate on immigration policy, particularly illegal immigration,
ensues across the nation.  *Some sources list that date at 1964."
7-Nov-06,"In the mid-term elections, both houses of
Congress change back to Democratic hands for the first time
since 1994. This is seen as a referendum by many on the Iraq
policy of the Bush administration as well as personal Republican
scandals among some House and Senate members."
1-Dec-06,"United States manufacturing capacity and
esteem wanes, signaled by the sale of the last shares of his
General Motors stock by U.S. billionaire Kirk Kerkorian."
4-Jan-07,"The first female speaker of the U.S. House of Representatives, Representative Nancy Pelosi of San Francisco, California, is sworn into office."
10-Jan-07,"President George W. Bush announces a
troop surge of 21,500 for the war in Iraq to stem the violence at
the request of new commander General Petraeus. This
controversial policy begins to show positive signs once fully
implemented during the summer months, with a reduction in
violent attacks against coalition forces and Iraqi civilians.
Progress on the political front within the Iraqi national
government, however, does not keep pace with positive
developments on the military front."
2-Jun-07,"A terror plot to blow up JFK International Airport in
New York City is thwarted when four terrorists are arrested and
charged with its plan."
4-Jul-07,The fifty star flag of the United States of America becomes the longest flying flag in American history after flying over forty-seven years.
13-Dec-07,"The Mitchell Report on the Steroids
Scandal in baseball is published. It recounted a year long
investigation into the use and abuse of performance enhancing
drugs over a two decade period, including steroids and human
growth hormone. Nearly ninety players were named, and blame
for the scandal was spread among players, the union, and the
commissioner's office. Headed by former Senator George
Mitchell, the report urged enhanced testing to stem the problem
and a look forward attitude to restore the integrity of the game
and its statistics. The report comes after a season when
Barry Bonds broke the home run record of Hank Aaron amid
suspicion of steroid use."
1-Jul-08," A report by the U.S. embassy in Iraq states that 15 of the 18 goals set for the Iraqi government have been met, largely due to the surge implemented over the last year. The increase of 21,500 United States troops, commonly known as the surge, reduced violence and restored order to the nation, allowing the government of Iraq to focus more on solving other problems needed to establish a stable nation."
17-Aug-08,"Michael Phelps, the United States swimmer
from Baltimore, wins his 8th Gold Medal of the Beijing Summer
Olympic Games, surpassing the record of seven won by Mark
Spitz."
29-Aug-08,"John McCain chooses Sarah Palin, 1st term
Governor of Alaska, as his running mate, making the contest
between Barack Obama and himself, the first time a presidential
election included both an African-American candidate and a
woman amongst the Presidential and Vice Presidential nominees
for president among the Democratic and Republican tickets."
3-Oct-08,"The United States Congress passes
legislation, signed by President Bush, for a $700 billion bailout, the Emergency Economic Stabilization Act, giving the Treasury Department authority to assist distressed Wall Street and banking businesses of the United States due to the housing,
banking, and subprime mortgage crises caused by excessive
greed and speculation among Wall Street firms. This
economic distress, coupled with oil prices above $140 per barrel
during the summer, deepened the world economic crises that
had been brewing all year. The bailout was supported by current
President George W. Bush and both presidential candidates,
Barack Obama and John McCain."
4-Nov-08,"Barack Obama, Democratic Senator from
Illinois, the land of Abraham Lincoln, wins a landslide margin in the Electoral College, 365 to 173 in the election for the 44th President of the USA over John McCain, making him the first
African-American president in the history of the United States of America."
20-Jan-09,"Barack Obama takes the oath of office for President of the United States, becoming the first African-American president in the history of the nation. The Democratic Senator from Illinois comes into the office on a message of Change. The city of Washington, D.C. hosts more than one million visitors to the inauguration, covering the National Mall in a way reminiscent of the Civil Rights March of Martin Luther King forty-six years earlier."
15-Apr-09,"After a succession of big government spending
projects beginning in the Bush administration and expanded
under President Obama, 750 grass roots Tea Party protests
spring up across the nation. More than one half million citizens
concerned with increased deficits due to actions such as the
bailout of the banking industry, car industry, potential cap and
trade legislation, and other administration projects that project a ten trillion dollar deficit over the next decade take part."
11-Jun-09,"The H1N1 virus, named the Swine Flu, is
deemed a global pandemic by the World Health Organization.
This is the first such designation since the Hong Kong flu in
1967-1968."
31-Oct-09,"The economic recession continues to deepen
as jobless claims climb above 10.0%, reaching 10.2% with
October's monthly figures. This occurs despite efforts by the
Obama administration to ramp up massive government spending
pushed by the $780 billion economic stimulus package passed
earlier in the year."
1-Dec-09,"President Obama announces a surge of
30,000 additional troops to Afghanistan to stem increased efforts by the Taliban in the country. The surge, which was suggested by military officers, was not popular with the liberal base of the Democratic party which had put the President in power on a pledge to end both Middle Eastern wars. The war in Afghanistan, which started as a response to the terror attacks on 9/11/2001, and the war on terror in general, comes into focus again on December 25 when an airliner headed for Detroit is attacked by a Muslim extremist, 23-year-old Umar Farouk Abdulmutallab, who attempts to detonate a bomb, but fails."
19-Jan-10,"Scott Brown, a Republican reformer from Massachusetts, stuns the nation with an upset win for the special election Senate seat. He is the first Republican elected to the Senate from the state since 1972 and only Republican member of the Massachusetts Democratic congressional delegation. His election puts a halt to the 60 seat Democratic super majority in the Senate and will prevent President Obama and the Democratic leadership from pushing legislation in future votes past a Republican filibuster."
25-Mar-10,"The U.S. House of Representatives finalizes
the Health Care legislation approved by the Senate, extending
health benefits and insurance to most Americans. The legislation,
the Affordable Care Act, passed on a partisan basis by the
Democratic Majority, has caused a significant rift within the
public, who disapproved of the bill, and is expected to test the
Democratic Party's hold on both houses of Congress during the
mid-term elections in November."
1-Apr-10,"The U.S. Census of 2010 is conducted, showing a
9.7% increase from the 2000 census for a total of 308,745,538
people. The geographic center of the population is now 2.7 miles
northeast of Plato, Missouri."
20-Apr-10,"A British Petroleum deep water oil rig explodes in the Gulf of Mexico, causing the largest oil spill in the history of the United States, killing eleven workers, and devastating the environment. It also severely damaged the fishing and tourism industries of gulf states."
2-Nov-10,"With an impetus from the Tea Party
movement to restore fiscal sanity to Congress and various state
houses, Republican candidates win the majority of elections,
taking control of the U.S. House of Representatives with a net
gain of 63 seats, reducing the majority of Democrats in the
Senate, and taking over many governorships and other
legislative bodies. This tide was the biggest turnaround in
Congressional seats since 1948, and many attribute the election
to disfavor of Obama administration spending practices, including the Health Care legislation passed in March."
14-Apr-11,"Congress votes to pass the 2010-2011 budget after six months of negotiations, including $38 billion in fiscal year cuts. This vote was one of the first measures that showed the new dynamic of a U.S. House of Representatives in Republican hands that was focused, due to Tea Party member goals, to get the burgeoning federal deficit under control."
2-May-11,"Osama Bin Laden, mastermind of the 9/11, 2001
attacks on the World Trade Center, the Pentagon, and other
locations and leader of the terrorist group, Al-Queda, is killed
after ten years of pursuit by United States and coalition forces
during a raid by U.S. Navy Seals on his hideout location in
Pakistan."
21-Jul-11,"The final shuttle flight lands at the Kennedy
Space Center, signifying the end of the NASA shuttle space
program. The program, which began in 1981 and included 135
missions, was completed when the Shuttle Atlantis flew its final
mission to the International Space Station."
17-Sep-11,"The first of many Occupy Wall Street
protests begin in New York City, protesting the big money
interests on Wall Street and their relationship to the recession
and world economy."
15-Dec-11,"The war in Iraq is declared over when
President Obama orders the last combat troops to leave the
country."
2-May-12,"At a New York auction house, the highest payment for a work of art, the Scream by Edvard Munch, is paid, costing $120 million dollars."
7-May-12,"The first licenses for cars without drivers is granted in the state of Nevada to Google. Futuristic transportation systems were first introduced in concept during the in the General Motors exhibit Futurama by Norman Bel Geddes. By September of 2012, three states had passed laws
allowing such vehicles; Nevada, California, and Florida."
11-Sep-12,"Terrorist attack on a consulate in the
Libyan city of Benghazi kills four Americans, including
Ambassador John C. Stevens, showing the continued fight
against Islamic extremism had not abated after the Arab Spring
uprisings in the Middle East and deposing of dictators such as
Muammar Gaddafi."
29-Oct-12,"Hurricane Sandy, taking an unusual track up
the East Coast and coming to landfall on the New Jersey coast
near Atlantic City and Long Island coasts of New York creates
significant damage to coastal towns as well as the boroughs of
Manhattan and Staten Island, to the estimated cost of $65.6
billion. The hurricane, at its peak a Category 2 storm, was the
largest storm in recorded history by diameter at 1,100 miles."
6-Nov-12,"President Barack Obama wins a significant
victory, 332 electoral votes to 206, for his second term in office
against Republican challenger and businessman Mitt Romney.
Congress remained status quo with divided government as the
House of Representatives remained in Republican hands and the
Senate in Democratic hands."
12-Feb-13,"Using a 3-D printer and cell cultures, American scientists at Cornell University grow a living ear."
15-Apr-13,"Two bombs explode near the finish line of the
Boston Marathon, killing three and injuring hundreds in a
terrorism attack coordinated by two brothers associated with
radical Islam. The attack caused the shutdown of the city as
police and federal officials searched and apprehended the
suspects within four days of the attack."
17-May-13,"Congressional hearings begin on the IRS scandal of group targeting that began two years prior. The Internal Revenue Service is accused of targeting conservative groups for additional scrutiny in tax status matters, including groups like the Tea Party, whose stances include lower taxes and smaller government, plus other patriotic and religious organizations. This breach of protocol from a government agency where all U.S. citizens file taxes has caused concern from both Republican, Democrat, and independent political groups."
28-Aug-13,"One hundred thousand visitors throng to the
Lincoln Memorial and the National Mall in Washington, D.C. for
the 50th anniversary commemoration ceremony of Martin Luther
King's Ã¢Â€ÂœI Have a Dream"" speech. Speakers at the anniversary
include two former presidents; Jimmy Carter, Bill Clinton, and
current President Barack Obama, the first African American to
hold the office. Nearly 250,000 people came to the original
speech in 1963."
1-Oct-13,"The Affordable Care Act, Obamacare, begins
registering people for the expanded federal government health
insurance program despite a variety of waivers and problems in
implementing the cumbersome rules and regulations of the
program. Various states have decided to allow the federal
government to run the exchanges for them, while some states
and the District of Columbia set up their own exchanges to sell
the policies."
1-Jan-14,"Obamacare, the Affordable Care Act, goes into affect for millions of Americans, the largest expansion of the social welfare state in decades. Over 7.3 million join the system, some due to cancellations of existing healthcare policies; others due to subsidies provided by the government. Premiums for policies see large increases due to expansion."
26-Feb-14,"Only days after hosting the Winter Olympic
Games in Sochi, Russia, the Russian Federation annexes the
Ukrainian territory of Crimea, causing widespread condemnation,
a temporary suspension of Russia from the G8, and limited
sanctions by the United States. Russian expansionism becomes
a topic for the first time since the end of the Cold War in 1989."
5-Jun-14,"Rise of ISIS in a large amount of territory in
western Syria and northern Iraq cause western nations to
confront another round of Islamic fundamentalism. United States
and some allies begin campaign to degrade their effectiveness
with a bombing campaign on September 22."
30-Sep-14,"First case of Ebola is certified in the United States, an outcome of travel from the country of Liberia and West Africa where the virus has spread to 22,000 people and killed 9,000."
4-Nov-14,"Midterm elections see large increase in
Republican lawmakers with expansion of their majority to 247
seats in the House of Representatives and the taking over of the
majority in the Senate with 54 seats. This will cause the Obama
administration to deal with a Congress now controlled by the
other party for the final two years of his term."
25-Apr-15,"Riots begin in Baltimore after the death of Freddie Gray, a black man, in police custody. This incident, coupled with others at the end of 2014 in Ferguson, Missouri, and more in 2015, would lead to the creation of the Black Lives Matter movement and discussion of police brutality in poor, minority, and violent neighborhoods and the appropriate response of police when confronted with danger and issues on how to secure the public good."
6-Jun-15,American Pharoah becomes the first horse in thirty-seven years to win the Triple Crown of horse racing with his victory in the Belmont Stakes.
16-Jun-15,"Billionaire businessman Donald Trump joins a crowded field of Republican candidates seeking the nomination for President in 2016 and almost immediately rises to the top of the polls on a populist message, surprising pundits and critics.  Expected frontrunner on the Democratic side, Hillary Clinton, takes quick lead in the polls."
20-Jul-15,Full diplomatic relations are reestablished between the United States and Cuba for the first time in fifty-four years.
22-Sep-15,"Pope Francis makes his first visit to the United States, holding services in Washington, New York City, and Philadelphia.  This was the first papal visit to the U.S.A. since Pope Benedict XVI in 2008 and only the fourth pope to ever visit the United States."
2-Dec-15,"Islamic Terrorist inspired act in San Bernadino, California kills fourteen and follows a brutal attack against citizens in Paris in November.  These attacks and others are fueled by the continual rise of ISIS in Syria, Iraq, and other countries around the world."
